Case,Metric,Variable,mean,sd,hdi_5.5%,hdi_94.5%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
Sarcoma,SDSC_binary,Intercept,2.303,2.246,-1.167,5.796,0.018,0.015,16091.0,15281.0,1.0
Sarcoma,SDSC_binary,C(ROI_category)[Tumor],-2.741,0.806,-3.967,-1.44,0.006,0.004,17377.0,21681.0,1.0
Sarcoma,SDSC_binary,C(Location)[US],0.927,1.729,-1.774,3.664,0.014,0.011,14959.0,16472.0,1.0
Sarcoma,SDSC_binary,"C(Gender, Treatment(""Male""))[Female]",0.747,1.332,-1.255,2.933,0.01,0.008,17795.0,17283.0,1.0
Sarcoma,SDSC_binary,Total_years_of_practice,0.104,0.565,-0.782,0.992,0.004,0.003,19510.0,20071.0,1.0
Sarcoma,SDSC_binary,"C(Practice_type, Treatment(""Non-academic""))[Academic]",-0.534,1.293,-2.576,1.483,0.011,0.008,16177.0,17390.0,1.0
Sarcoma,SDSC_binary,Colleague_num,-0.057,0.712,-1.17,1.069,0.006,0.005,16206.0,15753.0,1.0
Sarcoma,SDSC_binary,"C(Colleague_presence, Treatment(""No""))[Yes]",-2.102,1.582,-4.607,0.311,0.014,0.011,14643.0,12760.0,1.0
Sarcoma,SDSC_binary,"C(Race_white, Treatment(""Unchecked""))[Checked]",-0.81,1.362,-2.953,1.319,0.01,0.009,17995.0,17831.0,1.0
Sarcoma,SDSC_binary,"C(Treat_site_Sarcoma, Treatment(""Unchecked""))[Checked]",-1.112,1.331,-3.165,1.004,0.01,0.009,17504.0,14253.0,1.0
Sarcoma,SDSC_binary,1|Record_ID_sigma,2.931,1.137,1.105,4.595,0.014,0.01,6153.0,10127.0,1.0
Sarcoma,SDSC_binary,1|Record_ID[2],0.77,1.894,-2.323,3.637,0.014,0.013,19047.0,15497.0,1.0
Sarcoma,SDSC_binary,1|Record_ID[11],1.839,2.0,-1.367,4.839,0.015,0.012,18492.0,19417.0,1.0
Sarcoma,SDSC_binary,1|Record_ID[27],0.505,1.973,-2.577,3.65,0.013,0.011,24838.0,22882.0,1.0
Sarcoma,SDSC_binary,1|Record_ID[31],-2.947,2.485,-6.585,0.758,0.018,0.014,20201.0,18471.0,1.0
Sarcoma,SDSC_binary,1|Record_ID[48],-2.161,2.534,-6.08,1.602,0.016,0.013,27226.0,24342.0,1.0
Sarcoma,SDSC_binary,1|Record_ID[59],2.622,2.097,-0.682,5.766,0.018,0.014,14786.0,15317.0,1.0
Sarcoma,SDSC_binary,1|Record_ID[120],1.287,1.976,-1.798,4.38,0.013,0.011,22682.0,21413.0,1.0
Sarcoma,SDSC_binary,1|Record_ID[128],2.956,2.134,-0.357,6.226,0.02,0.015,12441.0,12577.0,1.0
Sarcoma,SDSC_binary,1|Record_ID[129],-1.683,2.589,-5.545,2.26,0.017,0.014,26806.0,23254.0,1.0
Sarcoma,SDSC_binary,1|Record_ID[140],-1.252,2.577,-5.129,2.761,0.015,0.014,37228.0,21678.0,1.0
Sarcoma,SDSC_binary,1|Record_ID[182],-1.944,2.472,-5.576,1.861,0.015,0.013,29728.0,23109.0,1.0
Sarcoma,SDSC_binary,1|Record_ID[186],1.275,1.899,-1.621,4.322,0.014,0.012,19883.0,16940.0,1.0
Sarcoma,SDSC_binary,1|Record_ID[235],-0.31,2.041,-3.475,2.95,0.014,0.011,22588.0,23556.0,1.0
Sarcoma,SDSC_binary,1|Record_ID[241],-1.326,2.59,-5.155,2.696,0.015,0.014,32870.0,22837.0,1.0
Sarcoma,SDSC_binary,1|Record_ID[245],-0.736,2.44,-4.668,3.053,0.016,0.014,23482.0,20912.0,1.0
Sarcoma,SDSC_binary,1|Record_ID[247],-1.804,2.584,-5.681,2.148,0.017,0.014,25708.0,19193.0,1.0
Sarcoma,SDSC_binary,1|Record_ID[250],2.954,2.145,-0.337,6.223,0.02,0.015,12718.0,12561.0,1.0
Sarcoma,SDSC_binary,1|Record_ID[304],2.645,2.7,-1.302,6.858,0.02,0.015,21103.0,21298.0,1.0
Sarcoma,SDSC_binary,1|Record_ID[310],-1.87,2.495,-5.696,1.862,0.017,0.014,25258.0,22248.0,1.0
Sarcoma,SDSC_binary,1|Record_ID[362],1.391,2.057,-1.886,4.558,0.015,0.013,20475.0,19268.0,1.0
Sarcoma,SDSC_binary,1|Record_ID[384],-1.796,2.515,-5.579,2.027,0.016,0.013,30064.0,21196.0,1.0
Sarcoma,SDSC_binary,1|Record_ID[386],-1.099,2.048,-4.337,2.06,0.014,0.011,23285.0,21969.0,1.0
Sarcoma,SDSC_binary,1|Record_ID[397],1.593,1.929,-1.346,4.675,0.014,0.011,18843.0,19042.0,1.0
Sarcoma,SDSC_binary,1|Record_ID[418],0.783,2.067,-2.486,3.979,0.015,0.013,20141.0,15803.0,1.0
Sarcoma,SDSC_binary,1|Record_ID[421],2.954,2.177,-0.392,6.362,0.019,0.014,13203.0,16211.0,1.0
Sarcoma,SDSC_binary,1|Record_ID[451],0.385,1.902,-2.647,3.378,0.013,0.011,21227.0,20368.0,1.0
Sarcoma,SDSC_binary,1|Record_ID[472],1.579,1.91,-1.378,4.576,0.014,0.011,20904.0,18083.0,1.0
Sarcoma,SDSC_binary,1|Record_ID[488],-0.453,2.823,-4.75,4.056,0.015,0.018,42706.0,21004.0,1.0
Sarcoma,SDSC_binary,1|Record_ID[572],-3.193,2.662,-7.154,0.827,0.021,0.015,17729.0,21779.0,1.0
Sarcoma,SDSC_binary,1|Record_ID[603],1.427,2.208,-1.853,5.046,0.017,0.013,18843.0,20608.0,1.0
Sarcoma,SDSC_binary,1|Record_ID[630],-1.858,2.472,-5.48,1.915,0.016,0.013,27075.0,22728.0,1.0
Sarcoma,SDSC_binary,1|Record_ID[641],-0.848,2.675,-4.911,3.358,0.015,0.015,36721.0,24345.0,1.0
Sarcoma,SDSC_binary,1|Record_ID[688],-1.584,2.51,-5.443,2.123,0.015,0.014,32562.0,24186.0,1.0
Sarcoma,SDSC_binary,1|Record_ID[702],-1.401,2.575,-5.263,2.61,0.016,0.014,28947.0,21370.0,1.0
Sarcoma,SDSC_binary,1|Record_ID[710],3.544,2.711,-0.591,7.466,0.023,0.016,14723.0,19507.0,1.0
Sarcoma,SDSC_binary,1|Record_ID[767],-1.62,2.725,-5.657,2.691,0.017,0.015,29433.0,22760.0,1.0
Sarcoma,SDSC_binary,1|Record_ID[799],-2.117,2.518,-5.824,1.672,0.017,0.014,24460.0,20488.0,1.0
Sarcoma,SDSC_binary,1|Record_ID[845],1.094,2.465,-2.731,4.985,0.016,0.014,23802.0,18661.0,1.0
Sarcoma,SDSC_binary,1|Record_ID[871],3.761,2.608,-0.165,7.509,0.023,0.017,13501.0,16321.0,1.0
Sarcoma,SDSC_binary,1|Record_ID[873],-2.367,2.554,-6.124,1.568,0.019,0.014,19348.0,21000.0,1.0
Sarcoma,SDSC_binary,1|Record_ID[885],-0.45,2.006,-3.54,2.825,0.014,0.01,20202.0,21029.0,1.0
Sarcoma,SDSC_binary,1|Record_ID[908],-0.855,2.724,-5.06,3.308,0.016,0.018,35805.0,20223.0,1.0
